FID,geom,site_name,site_address,site_city,site_state,site_zip,site_region,site_area,site_pci,globalid,client_globalid,Latitude,Longitude
Sites.25,POINT (-73.81414909399996 40.718915829000025),Family Dollar Union Turnpike,Union Tpke,Queens,NY,11367,,2482,45,{9414B1CE-F1C7-4465-BA5F-BD87BEFF0B42},,40.71891582900000000000,-73.81414909399990000000
Sites.73,POINT (-82.54852605999997 40.718522128000075),Kroger Columbus - 836,1500 Lexington Ave,Mansfield,OH,44907,,203709,,{C164A6D3-32C9-458B-85C5-07D294EBD662},,40.71852212800000000000,-82.54852605999990000000
Sites.559,POINT (-74.28713066390003 40.71704983480651),Union Crescent Plaza,Springfield Ave. & Vauxhall rd.,Union ,NJ,7083,,41609,44,{a0be3a18-482b-4a93-89ef-5a107d8ace4f},{9332e7f4-c292-4480-af81-dacc89da5a87},40.71704983480650000000,-74.28713066390000000000
Sites.555,POINT (-74.28674887909514 40.71701764431063),Union Crescent Plaza,Springfield Avenue & Vauxhall Rd. ,Union,NJ,7088,,125289,32,{2a3dff0c-3884-4825-9614-f175d47cbe2e},{9332e7f4-c292-4480-af81-dacc89da5a87},40.71701764431060000000,-74.28674887909510000000
Sites.575,POINT (-74.28621770737213 40.7165575067007),Union Crescent Plaza,Springfield Ave. & Vauxhall rd.,Union,NJ,7083,,66567,23,{c6bee03d-2d03-4f02-aebd-a0b711349155},{9332e7f4-c292-4480-af81-dacc89da5a87},40.71655750670070000000,-74.28621770737210000000
Sites.452,POINT (-74.28560313591582 40.71610544264258),Union Crescent Plaza,Springfield Ave. & Vauxhall Rd.,Union,NJ,7088,,498666,36,{52e76cdb-79a5-4c43-b20f-f853fb72ae34},{9332e7f4-c292-4480-af81-dacc89da5a87},40.71610544264250000000,-74.28560313591580000000
Sites.249,POINT (-73.85819951925335 40.70881048660121),1220,75-09 Woodhaven Blvd,Queens,NY,11385,,239830,92,{75fbbf0c-51cb-4910-944c-35037ef99a93},,40.70881048660120000000,-73.85819951925330000000
Sites.403,POINT (-73.69407260621904 40.70672534793685),111320 - Elmont S.C.,Hempstead Tpke. & Hill Ave,Elmont,NY,11003,,42232,93,{5554ce31-5d96-4ca4-8479-1a1ba2d5bfc7},{9332e7f4-c292-4480-af81-dacc89da5a87},40.70672534793680000000,-73.69407260621900000000
Sites.307,POINT (-80.10023426906281 40.69157167906218),4135,25 Dutilh Rd,Cranberry Twp,PA,16066,,312475,94,{3a31f7ce-a949-4367-a5e5-2f977ef83edc},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},40.69157167906210000000,-80.10023426906280000000
Sites.487,POINT (-73.47914282491153 40.69110413121344),"111380 - North Massapequa S.C.
",4250 Jerusalem Ave,North Massapequa,NY,11758,,43302,67,{5f47b220-458a-4a27-8f42-0bdae64ce19c},{9332e7f4-c292-4480-af81-dacc89da5a87},40.69110413121340000000,-73.47914282491150000000
Sites.507,POINT (-73.68618592761466 40.689437473480076),Franklin Square SC,Midway Ct & Franklin Ave,Franklin Square,NY,11010,,32279,36,{af6955d7-eb23-43e9-b280-fac4d481b326},{9332e7f4-c292-4480-af81-dacc89da5a87},40.68943747348000000000,-73.68618592761460000000
Sites.577,POINT (-73.40692419336868 40.688017060058066),105450 - Home Depot Plaza - Copiague,1101 Sunrise Hwy,Copiague,NY,11726,,374300,47,{573eebf7-782c-4cbd-b7ce-8a4bd4254255},,40.68801706005800000000,-73.40692419336860000000
Sites.530,POINT (-80.081844638038 40.68790092220436),Cranberry Commons,Rte. 228 & Kristoffer Dr.,Pittsburgh,PA,16066,,1006447,37,{6379e535-83b5-4dec-90a9-7d8c3f1565e6},,40.68790092220430000000,-80.08184463803800000000
Sites.423,POINT (-75.2483175825409 40.67910558472946),4173,721 S 25th St,Easton,PA,18045,,328200,68,{b843e939-2682-4b35-901d-baec460eeafa},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},40.67910558472940000000,-75.24831758254090000000
Sites.466,POINT (-80.09742360538566 40.67256170053902),Max & Erma,936 Sheraton Dr.,Mars,PA,16046,,45393,9,{b75273fe-17da-47dd-9518-d73486115acf},{4cbb436a-068d-41f3-a012-b41c20110e48},40.67256170053900000000,-80.09742360538560000000
Sites.456,POINT (-73.53637741662862 40.66133387519217),111350 Bellmore S.C.,Merrick Rd. & Ocean Ave.,Bellmore,NY,11710,,36745,59,{1b82de8f-1ad7-223b-778d-8c7de652ade4},,40.66133387519210000000,-73.53637741662860000000
Sites.33,POINT (-73.57178957199994 40.65656779500006),Meadowbrook Commons,210 Sunrise Hwy,Freeport,NY,11520,,189684,,{E7068DA7-9E03-420D-9D6A-715AEE505FE7},,40.65656779500000000000,-73.57178957199990000000
Sites.245,POINT (-73.86823528334119 40.653181219275645),6152,579 Gateway Dr,Brooklyn,NY,11239,,226815,89,{b247cfc5-15fd-4591-a743-583b1b001521},,40.65318121927560000000,-73.86823528334110000000
Sites.512,POINT (-73.55961808339327 40.65309491310947),Merrick Commons,Merrick Rd. & Chernucha Ave,Merrick,NY,11566,,202582,42,{1be7476e-e215-4111-848f-e8dca91cb2d3},{9332e7f4-c292-4480-af81-dacc89da5a87},40.65309491310940000000,-73.55961808339320000000
Sites.166,POINT (-74.32025043339077 40.652564827454285),6903,200 South Ave,Garwood,NJ,7027,,88432,78,{f529fc09-b507-4a1a-b4a9-8d7ebbc5d315},,40.65256482745420000000,-74.32025043339070000000
Sites.77,POINT (-76.53084943299996 40.64734975600004),Truist Bank - Valley View,"702 W Main St, Valley View, PA 17983",Valley View,PA,17983,11837,11837,58,{7CD8EAF2-D0DA-4107-9281-2FEE772BBF61},,40.64734975600000000000,-76.53084943299990000000
Sites.626,POINT (-74.3098597202906 40.63107526982993),"117120 - Central Plaza
",Central Ave. & Raritan Rd,Clark,NJ,7066,,112279,59,{a709cdf1-e045-4f03-b62e-841e49e4d247},{9332e7f4-c292-4480-af81-dacc89da5a87},40.63107526982990000000,-74.30985972029060000000
Sites.8,POINT (-103.23868437993934 40.626211028907086),1545,1614 W Main St,Sterling,CO,80751,,222402,31,{bd7c4eb3-852c-471c-8838-a10bd7b61be2},,40.62621102890700000000,-103.23868437993900000000
Sites.457,POINT (-74.1394173931002 40.62371585957832),113430 Forest Avenue Plaza,Forest Ave. & Riegelman St.,Staten Island,NY,10306,,134606,52,{1c9e772c-ad56-b289-ffe8-adbe8892c8d7},,40.62371585957830000000,-74.13941739310020000000
Sites.51,POINT (-73.91733136014548 40.62263051944953),111310 Ralph Avenue Plaza,2265 Ralph Ave,Brooklyn,NY,11234,,38315,23,{85D0630F-DE02-4337-BE34-8B5B1F4F37C0},,40.62263051944950000000,-73.91733136014540000000
Sites.510,POINT (-80.05336046712944 40.613489809178816),115660 - Wexford Plaza,10576 Perry Hwy,Wexford,PA,15090,,411309,32,{0a074756-4a5e-43e9-bba1-c8404b1586e7},{9332e7f4-c292-4480-af81-dacc89da5a87},40.61348980917880000000,-80.05336046712940000000
Sites.136,POINT (-74.08390122843785 40.61299952415411),6150,545 Targee St,Staten Island,NY,10304,,169227,82,{a88b37b7-4aba-405b-8e48-ca6ee490ca5d},,40.61299952415410000000,-74.08390122843780000000
Sites.228,POINT (-73.91642904582835 40.61225040793388),6158,5700 Avenue U,Brooklyn,NY,11234,,125057,71,{ee833e43-88a7-41b5-a05a-32d2b2cb03dc},,40.61225040793380000000,-73.91642904582830000000
Sites.26,POINT (-73.91635250699994 40.612185897000074),Mill Street Basin,Avenue U & E. 55th St.,NY,NY,11234,,125438,54,{80F99A32-BEBD-4974-AAE8-1D570C13E4DB},,40.61218589700000000000,-73.91635250699990000000
Sites.293,POINT (-79.94509688754871 40.60322712309971),4152,4960 William Flinn Hwy,Allison Park,PA,15101,,332742,82,{568b8a4c-2b41-45ae-9eaf-5513eeb813b2},,40.60322712309970000000,-79.94509688754870000000
Sites.104,POINT (-73.98836719777394 40.58152357185662),1256,2970 Cropsey Ave, Brooklyn,NY,11214,,261040,92,{d837767c-2b62-47c7-8e8a-abf551f3f945},,40.58152357185660000000,-73.98836719777390000000
Sites.286,POINT (-74.16826604494223 40.57486890449807),Richmond S.C.,Richmond Ave. & Yukon Ave.,Staten Island,NY,10314,,371235,50,{d31adceb-f074-45bb-b814-3033d01ba393},,40.57486890449800000000,-74.16826604494220000000
Sites.463,POINT (-74.11075752511475 40.56657077349428),The Boulevard,Hylan Blvd. & Beach Ave.,Staten Island,NY,10306,,463927,93,{95c9ecd2-68a6-48b2-9e44-e8f04c487d1e},{9332e7f4-c292-4480-af81-dacc89da5a87},40.56657077349420000000,-74.11075752511470000000
Sites.480,POINT (-74.55675779776479 40.561655205596544),Bridgewater Promenade,"Rte. 28 & I-287, Bridgewater",Bridgewater,NJ,8805,,437802,42,{1be8ce73-12be-78ac-2d7f-fe12b73edf9a},,40.56165520559650000000,-74.55675779776470000000
Sites.455,POINT (-74.16831243448794 40.560110299336024),"106740 - Greenridge Plaza
",3275 Richmond Ave,Staten Island,NY,10312,,171407,36,{39f145b7-a857-4527-89e8-a43000ed252b},{9332e7f4-c292-4480-af81-dacc89da5a87},40.56011029933600000000,-74.16831243448790000000
Sites.495,POINT (-74.44296636648414 40.551862992809745),"105580 - Piscataway Town Center
",1306 Centennial Ave,Piscataway,NJ,8854,,219033,54,{7a5f0ccf-9a05-4bd6-99c7-d3d8d6dfa384},{9332e7f4-c292-4480-af81-dacc89da5a87},40.55186299280970000000,-74.44296636648410000000
Sites.256,POINT (-80.0115142633599 40.54506062557806),4159,999 Ross Park Mall Dr,Pittsburgh,PA,15237,,271653,63,{fca708ca-d855-40eb-938f-9e3e0346a6f2},,40.54506062557800000000,-80.01151426335990000000
Sites.521,POINT (-88.9546943650524 40.52383388195615),6987,795 Veterans Pkwy,Normal,IL,61761,,220932,73,{71eb6d5d-6679-4b0c-bc6f-43be2c1c62ac},,40.52383388195610000000,-88.95469436505240000000
Sites.146,POINT (-74.48958459306014 40.518092569997975),Somerset,1135 Easton Ave.,Somerset,NJ,8873,,138420,70,{5b771eb5-017d-4d5a-97ba-dc9f750c85f8},,40.51809256999790000000,-74.48958459306010000000
Sites.496,POINT (-74.62712864098609 40.51671891170393),Hillsborough Promenade,Rte. 206 & Falcon Rd.,Hillsborough,NJ,8844,,1441823,44,{9ee34204-c2c8-4f5e-b1e3-441c691fa653},,40.51671891170390000000,-74.62712864098600000000
Sites.382,POINT (-111.98239171025438 40.510383505893685),8566,3852 13400 S.,Riverton,UT,84065,,262297,36,{b1505718-4b38-4b8e-85fe-8fa314ef43c4},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},40.51038350589360000000,-111.98239171025400000000
Sites.482,POINT (-74.46669908372247 40.461228056552265),North Brunswick Plaza,Wayzata Blvd.& I-394,Minnetonka,MN,55305,,777312,46,{5d781301-05f6-47de-9983-12a625fff139},,40.46122805655220000000,-74.46669908372240000000
Sites.621,POINT (-74.14466374256892 40.413910794671146),"110070 - Holmdel Towne Center
",2101 NJ-35,Holmdel,NJ,7733,,816706,77,{671d1185-8e7b-4ad9-bc6f-b6e80f52f479},{9332e7f4-c292-4480-af81-dacc89da5a87},40.41391079467110000000,-74.14466374256890000000
Sites.402,POINT (-74.14512826171213 40.4112769679224),Commons at Holmdel,Rte. 35 & Laurel Ave.,Holmdel,NJ,7733,,687031,58,{4439c042-bd12-4c17-9966-4a49f87199f0},,40.41127696792240000000,-74.14512826171210000000
Sites.122,POINT (-74.5664073334034 40.39416484868861),6917,4095 US-1,Monmouth Junction,NJ,8852,,227657,64,{e82f1156-5937-4c2c-8781-f393861f03cb},,40.39416484868860000000,-74.56640733340340000000
Sites.248,POINT (-75.84816180512068 40.29625840654382),4164,5410 Perkiomen Ave,Reading,PA,19606,,267014,31,{fe7f9572-38a1-45ba-8402-06ffc3e0f349},,40.29625840654380000000,-75.84816180512060000000
Sites.162,POINT (-74.76093705949881 40.243539258900846),976,1621 N Olden Ave,Ewing Township,NJ,8638,,285223,56,{ec787bf0-8892-4b2c-9050-ff582661c81a},,40.24353925890080000000,-74.76093705949880000000
Sites.181,POINT (-92.58405043195006 40.225540384354986),3036,3015 N Baltimore St,Kirksville,MO,63501,,216319,71,{1accc005-77eb-40c7-8d0b-fd67c2c8c219},,40.22554038435490000000,-92.58405043195000000000
Sites.309,POINT (-77.18976311527533 40.18546381827542),4149,1013 S Hanover St.,Carlisle,PA,17013,,259137,77,{d6a59d62-85c7-46f5-8f4e-33fd5d4bd937},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},40.18546381827540000000,-77.18976311527530000000
Sites.81,POINT (-75.13361505199998 40.181966438000075),Horsham Point,Horsham Rd. & Dresher Rd,Horsham,PA,19044,,216160,,{8C45ED06-FF89-4917-AE9D-8D8FFCF35078},,40.18196643800000000000,-75.13361505199990000000
Sites.331,POINT (-82.91979261034744 40.147577891260056),3825,6017 Maxtown Rd,Westerville,OH,43082,,306614,8,{95e9aa44-ea7c-4e40-a066-ab5004a242c9},,40.14757789126000000000,-82.91979261034740000000
Sites.234,POINT (-75.40057309749037 40.12880276831929),4145,600 S Trooper Rd,Norristown,PA,19403,,285216,52,{9615c507-3290-446e-bb27-2ac426fc3b86},,40.12880276831920000000,-75.40057309749030000000
Sites.94,POINT (-82.42451183788364 40.083470595748544),Store 3887,1330 N 21st Street,Newark,OH,43055,,287733,,{bc16d438-e547-402f-a71a-61769b2cc208},,40.08347059574850000000,-82.42451183788360000000
Sites.28,POINT (-75.05865039999998 40.05134743000008),"Cottman and Bustleton Center
","7400 Bustleton Ave
","Philadelphia
",PA,19149,,318679,,{7B5403B7-71C4-4ABC-9794-CE9A3F2B2C3D},,40.05134743000000000000,-75.05865039999990000000
Sites.10,POINT (-85.9896649101727 40.04750432261152),2017,3300 Conner St.,Noblesville,IN,46060,,318508,35,{cb6bd94b-a156-43a9-8f56-8d3e2ede1650},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},40.04750432261150000000,-85.98966491017270000000
Sites.144,POINT (-83.12164292402805 40.03582104650116),3872,4101 Trueman Blvd,Hilliard,OH,43026,,227899,87,{2eda2078-e36a-4e64-9fd0-7f09403a409b},,40.03582104650110000000,-83.12164292402800000000
Sites.315,POINT (-86.90144155008315 40.015768340164726),8918,1710 US-231,Crawfordsville,IN,47933,,254065,63,{867fd06a-e14b-43ed-b753-d58c952796cb},,40.01576834016470000000,-86.90144155008310000000
Sites.253,POINT (-75.09117819533176 39.9922953147912),4150,2539 Castor Ave,Philadelphia,PA,19134,,255997,56,{49a97b9d-2b4f-462e-960d-d0706d948552},,39.99229531479120000000,-75.09117819533170000000
Sites.242,POINT (-75.93673983011705 39.98145627306326),8955,500 Commons Dr,Parkesburg,PA,19365L,,391097,48,{b1a5f5fe-05ff-43d5-a8b1-cf0524b88438},,39.98145627306320000000,-75.93673983011700000000
Sites.233,POINT (-76.66915976621627 39.977308011030686),4125,2905 E Market St.,East York,PA,17402,,348979,57,{3d6840cd-af43-400a-b731-3b9f14b480a7},,39.97730801103060000000,-76.66915976621620000000
Sites.176,POINT (-83.82968730886067 39.94967865589326),3867,1880 N Bechtle Ave,Springfield,OH,45504,,274962,50,{54bcced3-e915-428b-a9ee-746fe683810c},,39.94967865589320000000,-83.82968730886060000000
Sites.221,POINT (-75.03876483829723 39.92407650600639),989,2160 Rte 70 W,Cherry Hill,NJ,8002,,221257,55,{d02336ef-0717-463a-a552-ebb348a03008},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.92407650600630000000,-75.03876483829720000000
Sites.573,POINT (-104.81033678417901 39.88731077632424),King Soopers - Reunion - Shared Drivelanes,15051 E 104th Ave, Commerce City,CO,80022,,97995,46,{84d05839-a0c0-494c-a986-51eea572acd2},,39.88731077632420000000,-104.81033678417900000000
Sites.546,POINT (-104.8119482191897 39.88710464839715),King Soopers - Reunion Main,15051 E 104th Ave,Commerce City,CO,80022,,261999,45,{1c13f662-aaab-4637-8c4f-4c7303d3f6bc},{53aac07c-079e-4423-9d3f-ef9500178cdc},39.88710464839710000000,-104.81194821918900000000
Sites.571,POINT (-104.81085191162069 39.88665724691735),King Soopers - Reunion Lot 2,15051 E 104th Ave ,Commerce City,CO,80022,,40283,47,{2bcb64b9-4168-400d-872d-bb65a3f8e546},,39.88665724691730000000,-104.81085191162000000000
Sites.296,POINT (-75.32635734322785 39.88659423765331),4142,300 MacDade BLVD,Folsom,PA,19033,,336346,45,{aff19a6b-3c9b-4c0c-b478-e0d980ea5c6e},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.88659423765330000000,-75.32635734322780000000
Sites.17,POINT (-104.98898715399997 39.88417296100005),1416 - North Glenn,104 W 104th Ave,Denver,CO,80234,,95867,45,{30045F79-8839-4AE9-BC8D-6EEB645F8207},,39.88417296100000000000,-104.98898715399900000000
Sites.141,POINT (-82.83129248212117 39.8577563357258),3885,6035 Gender Rd,Canal Winchester,OH,43110,,256175,42,{afa1cd86-12de-4991-b75d-53d944df5bf9},,39.85775633572580000000,-82.83129248212110000000
Sites.37,POINT (-75.09319569699994 39.82796269800008),579 Deptford,1851 Deptford Center Rd,Deptford,NJ,80896,138361,138361,72,{CBFD8CBD-8FF8-491F-BF71-157C1F62BB52},,39.82796269800000000000,-75.09319569699990000000
Sites.528,POINT (-76.9813980593035 39.826520148696396),4168,400 W Eisenhower Dr,Hanover,PA,17331,,358420,37,{f6d10f80-cf99-484f-b59b-22f7893921b1},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.82652014869630000000,-76.98139805930350000000
Sites.608,POINT (-86.00731915043423 39.798549670450285),2011,2225 N Post Rd,Indianapolis,IN,46219,,301867,54,{2b35a6b9-e717-4259-b846-858481352f8e},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.79854967045020000000,-86.00731915043420000000
Sites.280,POINT (-76.666677143379 39.7743154564342),4177,960 Far Hills Dr,New Freedom,PA,17349,,298257,75,{34b050d9-f68f-4530-908c-9c1f460f6be0},,39.77431545643420000000,-76.66667714337900000000
Sites.199,POINT (-105.0193529192297 39.76886943895291),"West 38th Street S.C.
",2600 W 38th Ave,Denver,CO,80211,,43008,25,{07382c24-9aad-4529-b5fe-76c618493377},,39.76886943895290000000,-105.01935291922900000000
Sites.443,POINT (-75.53238982530712 39.76722132570154),8440,3600 Miller Rd.,Wilmington,DE,19802,,247669,33,{ae3305a6-fc8f-4f5e-8157-f1bdff6bf5b8},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.76722132570150000000,-75.53238982530710000000
Sites.46,POINT (-105.05488073199996 39.74544698200003),Edgewater Marketplace,1725 Sheridan Blvd,Edgewater,CO,80214,,295866,,{37CA5F19-6A5E-4199-9A9A-578D8C9AB1EA},,39.74544698200000000000,-105.05488073199900000000
Sites.222,POINT (-105.18959973889939 39.72312863062676),1522,16900 W Colfax Ave,Golden,CO,80401,,287034,60,{937d1951-6c4b-43cc-b50b-c643b57e6693},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.72312863062670000000,-105.18959973889900000000
Sites.532,POINT (-90.25390552662657 39.72136308315942),Store 8430,1601 W Morton Ave,Jacksonville,IL,62650,,235617,97,{72e49a65-a0c7-4c16-b496-bbf991761511},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.72136308315940000000,-90.25390552662650000000
Sites.420,POINT (-104.86737612299187 39.67422331092492),Village on the Park,S. Parker Rd. & Havana St.,Aurora,CO,80014,,293964,73,{0ca965da-cf3d-4902-8302-17ea70e43567},{9332e7f4-c292-4480-af81-dacc89da5a87},39.67422331092490000000,-104.86737612299100000000
Sites.338,POINT (-104.86848031521018 39.674015000167614),106820 Village on the Park,S. Parker Rd. & Havana St.,Aurora,CO,80014,,317916,72,{76a1cb3d-24a9-410c-9865-e7af8afe783a},,39.67401500016760000000,-104.86848031521000000000
Sites.246,POINT (-104.99229388753074 39.655865283633524),Englewood Plaza,W. Girard Ave. & S. Elati St.,Englewood,CO,80110,,151717,25,{bdab4035-a4ae-4985-a11d-89344df8e6fc},{9332e7f4-c292-4480-af81-dacc89da5a87},39.65586528363350000000,-104.99229388753000000000
Sites.562,POINT (-105.0490596594612 39.65476269255829),1520,3130 S Sheridan Blvd,Denver,CO,80227,,278816,57,{9876cf5a-87bb-eea5-be74-7335bee632cd},,39.65476269255820000000,-105.04905965946100000000
Sites.66,POINT (-104.77616138099995 39.65468951500003),King Soopers - 128,18211 E Hampden Ave,Aurora,CO,80013,,240276,28,{E60EE443-141A-445C-9183-226807B63437},,39.65468951500000000000,-104.77616138099900000000
Sites.327,POINT (-85.97288127200402 39.6524010348141),Acton Elementary,8010 Acton Rd,Indianapolis,IN,46259,,104543,31,{ba21eebc-ccf1-4c9d-ad38-059c343fdb0c},{091cf087-5512-4a66-a8be-cdadaa246d95},39.65240103481410000000,-85.97288127200400000000
Sites.140,POINT (-84.22613445127243 39.64435706552563),3857,345 N Springboro Pike,Dayton,OH,45449,,319102,52,{b22e152c-197d-4c52-9b90-014faf00e8f2},,39.64435706552560000000,-84.22613445127240000000
Sites.386,POINT (-104.82733202535692 39.64142962933924),"106890 - East Bank S.C.
",Parker Rd. & Quincy Rd.,Aurora,CO,80015,,331283,59,{6689e690-cafd-464b-9ebb-0e2f7b2dfb2a},,39.64142962933920000000,-104.82733202535600000000
Sites.212,POINT (-104.79264900761382 39.63973266293259),106850 - Quincy Place SC,"E. Quincy Place &, S. Buckley Rd.",Aurora,CO,80015,,148561,36,{c8b64ca7-31a3-45bc-b0c3-6286e1b6f364},,39.63973266293250000000,-104.79264900761300000000
Sites.479,POINT (-86.12976483872974 39.63733703079574),"101530 - Greenwood S.C.
",8830 US-31,Indianapolis,IN,46227,,565192,2,{90926867-24af-4a87-8360-b7f6229fde82},,39.63733703079570000000,-86.12976483872970000000
Sites.223,POINT (-105.16068336792378 39.63607989380006),1549,4277 S. Eldridge St.,Morrison,CO,80465,,230668,63,{7f36398b-749a-4987-aca1-ea04042bc8dc},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.63607989380000000000,-105.16068336792300000000
Sites.252,POINT (-86.16195899719463 39.604495636770395),HD 2019,850 S State Rd. 135,Greenwood,IN,46143,,275995,88,{eb69d40b-9b6b-4493-b09a-05cdd6003a86},,39.60449563677030000000,-86.16195899719460000000
Sites.404,POINT (-76.96755650198081 39.563151589417785),2580,835 Market St,Westminster,MD,21157,,320866,61,{13b51f00-03c2-4547-b5f2-89e30ff29d42},,39.56315158941770000000,-76.96755650198080000000
Sites.324,POINT (-119.70406583643083 39.55623628112827),D'Andrea Marketplace,2878 Vista Blvd,Sparks,NV,89434,,304098,71,{04657a74-10b8-492c-835c-ba188547862c},{9332e7f4-c292-4480-af81-dacc89da5a87},39.55623628112820000000,-119.70406583643000000000
Sites.343,POINT (-119.75417870700379 39.55565850961587),Sparks Mercantile,N. McCarran Blvd. & Pyramid Way,Sparks,NV,89431,,278951,40,{1df2fa1f-2c4a-41d9-a3d3-b93af8244541},,39.55565850961580000000,-119.75417870700300000000
Sites.236,POINT (-104.9470000794661 39.542290346915365),116690 Village Center West,"Fairview Pkwy. & Highlands, Ranch Pkwy.",Highlands Ranch,CO,80126,,70128,42,{16832a24-7bcd-4318-c4fd-76c718593878},,39.54229034691530000000,-104.94700007946600000000
Sites.515,POINT (-104.86027281800493 39.54028506482785),Toyota North America Inc. - Denver Regional Office,9676 S Maroon Cir,Englewood,CO,80112,,84217,73,{0c7528ab-bd3b-4295-9367-602085f5f09c},,39.54028506482780000000,-104.86027281800400000000
Sites.516,POINT (-104.86027281800493 39.54028506482785),Toyota North America Inc. - Denver Regional Office,9676 S Maroon Cir,Englewood,CO,80112,,84217,73,{a28becca-60ee-42f9-b211-f45ec973f3a2},,39.54028506482780000000,-104.86027281800400000000
Sites.40,POINT (-104.79085257099996 39.53590985500006),Crossing at Stonegate,17031 Lincoln Ave,Parker,CO,80134,,305706,44,{8410A9CC-7BE5-435B-AB57-DD93CA307024},,39.53590985500000000000,-104.79085257099900000000
Sites.285,POINT (-119.88017883215325 39.527873563204096),McQueen Crossing S.C.,Mae Anne Ave. & Robb Dr.,Reno,NV,89523,,363857,92,{1fda53f2-a26c-4e47-89e6-14f68157cc6b},{9332e7f4-c292-4480-af81-dacc89da5a87},39.52787356320400000000,-119.88017883215300000000
Sites.639,POINT (-76.36133313786422 39.525578550549916),529006,658 Boulton St,Bel Air,MD,21014,,159482,35,{5e44f034-21d2-4934-93ea-b72cec032e32},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.52557855054990000000,-76.36133313786420000000
Sites.123,POINT (-76.18088220482791 39.52392017544443),2510,979 Beards Hill Rd,Aberdeen,MD,21001,,148020,52,{5b2b164f-b314-4039-9b36-dab3a6c3a9d6},,39.52392017544440000000,-76.18088220482790000000
Sites.561,POINT (-104.76599864756217 39.514051607833856),Home Depot 1516,11111 S. Parker Rd,Parker ,CO,80134,,243364,72,{06b55991-0a88-4d56-a536-b6995821ac64},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.51405160783380000000,-104.76599864756200000000
Sites.72,POINT (-82.07971101699997 39.48364632500005),Kroger Columbus - 831,19471 Lake Dr,Trimble,OH,45782,,33187,49,{DD25E3DB-AFB0-43AA-A8F4-8FA7BE08A66E},,39.48364632500000000000,-82.07971101699990000000
Sites.599,POINT (-119.78613584580182 39.46998767039694),Del Monte Plaza 113140 ,Del Monte Lane & S. Virginia St.,"Reno,  ",NV,89502,,23060,52,{a8a36704-1b07-4e99-a154-f214e7e3e2f8},,39.46998767039690000000,-119.78613584580100000000
Sites.593,POINT (-119.78657168508184 39.46910021379711),Del Monte Plaza,Del Monte Lane & S. Virginia St,Reno,NV,89502,,239196,32,{aae7a011-10f2-4047-acdd-37ee9439dbf4},,39.46910021379710000000,-119.78657168508100000000
Sites.372,POINT (-76.29265704877848 39.43960779421355),2576,2703 Pulaski Hwk,Edgewood,MD,21040,,364369,95,{383a7777-5c49-4297-b630-467525ecb259},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.43960779421350000000,-76.29265704877840000000
Sites.392,POINT (-76.94701045604499 39.40929387624519),2581,1326 Londtown Blvd,Eldersburg,MD,21784,,328434,65,[b1c9a72a-12ef-c9a7-ad14-52bce91a87ce},,39.40929387624510000000,-76.94701045604490000000
Sites.325,POINT (-119.76605483800178 39.39426912392792),"116140 - Galena Junction S.C.
",18144 Wedge Pkwy,Reno,NV,89511,,381952,88,{13534ff0-89c5-44d1-9a62-9d5a45bb1439},{9332e7f4-c292-4480-af81-dacc89da5a87},39.39426912392790000000,-119.76605483800100000000
Sites.164,POINT (-76.54268970050254 39.372316817781055),Parkville,7709 Hartford Rd,Baltimore,MD,21234,,326791,29,{9040efc3-b206-44a9-a7d4-85a279289c4c},,39.37231681778100000000,-76.54268970050250000000
Sites.587,POINT (-76.78726687909918 39.3613322794728),Store 6945,8729 Liberty Rd,Randallstown,MD,21133,,185335,82,{02ee6d66-a0ad-4678-9a73-598ad68e1ab0},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},39.36133227947280000000,-76.78726687909910000000
Sites.312,POINT (-76.48838972502021 39.33563201572342),2587,6415 Petrie Way Rd.,Rosedale,MD,21237,,319561,67,{66b3626a-f384-48ff-8447-f87e5ff3b21d},,39.33563201572340000000,-76.48838972502020000000
Sites.323,POINT (-120.20650688416933 39.3270437620405),116120 Gateway at Donner Pass,Donner Pass Rd & Frates Ln,Truckee,CA,96161,,246734,47,{7286051a-5b18-4153-b9cd-c5146a12676e},,39.32704376204050000000,-120.20650688416900000000
